id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category
28893565,Luvea Body Lotion,"Luvea Body Lotion by Epiderme Laboratories Pvt Ltd. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 75ML.",in stock,new,699.00 INR,https://www.indianskinstore.com/product/luvea-body-lotion,https://indianskinco.github.io/iss-catalog-images/p/28893565.jpg,Epiderme Laboratories Pvt Ltd,Health & Beauty > Personal Care > Cosmetics > Skin Care,
19651859,Lycalamine,"Lycalamine by Lyra Laboratories Pvt Ltd. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 100ML.",in stock,new,107.00 INR,https://www.indianskinstore.com/product/lycalamine,https://indianskinco.github.io/iss-catalog-images/p/19651859.jpg,Lyra Laboratories Pvt Ltd,Health & Beauty > Personal Care > Cosmetics > Skin Care,
28861124,Maxrich Cream,"Maxrich Cream by Sun Pharmaceuticals Ltd. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 150GM.",in stock,new,552.00 INR,https://www.indianskinstore.com/product/maxrich-cream,https://indianskinco.github.io/iss-catalog-images/p/28861124.jpg,Sun Pharmaceuticals Ltd,Health & Beauty > Personal Care > Cosmetics > Skin Care,
28882805,Maxrich-p Cream,"Maxrich-p Cream by Sun Pharmaceuticals Ltd. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 150GM.",in stock,new,525.00 INR,https://www.indianskinstore.com/product/maxrich-p-cream,https://indianskinco.github.io/iss-catalog-images/p/28882805.jpg,Sun Pharmaceuticals Ltd,Health & Beauty > Personal Care > Cosmetics > Skin Care,
18893270,Megaheal Gel 50G 1*50g,"Megaheal Gel 50G 1*50g by Aristo Pharmaceuticals Pvt Ltd. Post-Procedure product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 1*50G.",in stock,new,135.93 INR,https://www.indianskinstore.com/product/megaheal-gel-50g-1*50g,https://indianskinco.github.io/iss-catalog-images/p/18893270.jpg,Aristo Pharmaceuticals Pvt Ltd,Health & Beauty > Personal Care > Cosmetics > Skin Care,
22912058,Melaglow Prime Lotion,"Melaglow Prime Lotion by Abbott Healthcare Pvt. Ltd.. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 50GM.",in stock,new,768.00 INR,https://www.indianskinstore.com/product/melaglow-prime-lotion,https://indianskinco.github.io/iss-catalog-images/p/22912058.jpg,Abbott Healthcare Pvt. Ltd.,Health & Beauty > Personal Care > Cosmetics > Skin Care,
19310121,Moduseb Soap 75GM,"Moduseb Soap 75GM by Ceuticoz. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 0.",in stock,new,120.00 INR,https://www.indianskinstore.com/product/moduseb-soap-75gm,https://indianskinco.github.io/iss-catalog-images/p/19310121.jpg,Ceuticoz,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash,
18893562,Moisturex Syndet Bathing Bar 75GM,"Moisturex Syndet Bathing Bar 75GM by Sun Pharmaceutical Pvt Ltd. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 75GM.",in stock,new,202.00 INR,https://www.indianskinstore.com/product/moisturex-syndet-bathing-bar-75gm,https://indianskinco.github.io/iss-catalog-images/p/18893562.jpg,Sun Pharmaceutical Pvt Ltd,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash,
18893563,Moisturex Wash 200ml,"Moisturex Wash 200ml by Sun Pharmaceutical Pvt Ltd. Cleansing product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 200ML.",in stock,new,601.00 INR,https://www.indianskinstore.com/product/moisturex-wash-200ml,https://indianskinco.github.io/iss-catalog-images/p/18893563.jpg,Sun Pharmaceutical Pvt Ltd,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Wash,
24342128,Oryza Cera Max,"Oryza Cera Max by Alembic Pharmaceuticals Ltd. Body Care product available at Indian Skin Store, the dermatologist-run skincare pharmacy by Indian Skin®. Pack size: 250ML.",in stock,new,825.00 INR,https://www.indianskinstore.com/product/oryza-cera-max,https://indianskinco.github.io/iss-catalog-images/p/24342128.jpg,Alembic Pharmaceuticals Ltd,Health & Beauty > Personal Care > Cosmetics > Skin Care,
